51,233,129,7
58,166,337,10
58,172,338,23
58,172,340,11
59,166,334,8
59,166,338,12
59,171,337,21
60,171,339,15
60,555,672,7
60,556,608,9
60,556,640,9
61,553,736,10
61,554,752,11
61,554,768,8
61,555,784,10
62,171,339,28
63,165,338,8
63,165,339,9
63,165,340,12
63,166,343,7
63,171,337,34
64,166,344,12
64,166,351,11
65,166,347,10
65,172,347,60
66,166,356,15
66,166,357,14
66,199,368,7
67,172,356,9
67,172,358,13
68,167,363,7
68,167,372,10
68,173,362,26
68,173,368,23
68,173,370,10
69,173,366,8
69,173,374,17
69,174,373,29
70,173,375,25
70,173,377,23
70,174,374,11
70,174,381,20
70,176,470,10
71,174,388,16
71,174,462,9
71,175,464,10
71,175,468,17
72,173,397,8
72,174,392,18
73,167,397,8
73,172,403,14
73,173,392,11
73,173,396,49
73,173,400,50
74,164,440,10
74,166,416,13
74,166,417,13
74,166,421,12
74,170,450,9
74,171,414,13
74,171,423,10
74,171,426,7
74,172,407,49
74,173,406,14
74,173,410,11
74,173,411,8
75,164,444,9
75,164,445,9
75,165,429,8
75,170,448,8
75,171,423,16
75,171,449,26
79,249,281,7
80,201,393,7
82,246,314,9
82,246,315,8
83,240,212,8
83,247,281,7
101,196,433,7
105,187,382,8
108,553,752,11
108,553,784,10
123,187,321,8
123,187,335,10
126,242,181,8
127,230,173,8
131,190,358,13
134,197,595,9
136,242,173,15
137,233,209,9
138,187,563,13
140,195,515,9
142,179,699,8
142,180,653,9
142,185,566,8
143,180,520,8
144,184,481,8
144,188,540,16
145,180,545,10
145,183,595,16
145,185,611,8
146,175,557,9
146,180,505,8
147,171,669,9
147,174,649,11
147,181,549,19
147,232,432,8
147,235,594,8
148,182,660,9
149,170,550,8
149,170,551,8
149,183,574,11
149,184,489,10
149,184,490,8
149,185,702,7
149,246,317,8
150,174,582,9
150,174,583,11
150,183,619,8
150,185,466,7
150,203,433,14
151,176,603,8
151,176,664,9
151,182,735,8
151,198,623,8
151,200,597,9
151,200,598,9
151,201,574,8
151,201,594,8
151,201,597,8
151,231,569,8
151,237,594,8
152,189,582,8
152,189,583,11
152,198,620,8
152,206,583,8
153,157,571,9
153,172,661,11
153,206,395,7
153,231,546,8
154,175,507,10
154,175,532,11
154,178,470,20
154,186,540,8
154,186,541,8
154,192,553,8
154,193,536,10
154,205,581,7
154,205,583,9
155,184,709,7
155,192,552,8
155,194,560,7
155,199,683,7
155,229,545,8
155,236,577,7
155,240,600,7
155,241,592,8
155,555,720,8
156,184,497,9
156,186,650,8
156,190,548,10
156,195,563,7
156,195,564,8
156,201,677,8
156,201,678,8
156,202,616,8
156,209,604,9
156,209,605,7
156,236,575,7
156,237,563,8
156,238,573,8
156,240,597,9
157,175,525,10
157,176,693,8
157,191,661,8
157,193,562,14
157,197,428,12
157,197,429,8
157,209,539,7
157,230,555,9
157,237,568,8
157,238,604,7
157,241,585,7
157,248,307,8
158,154,609,7
158,155,610,8
158,171,612,9
158,173,624,9
158,173,626,12
158,188,571,11
158,188,573,8
158,190,431,12
158,192,562,9
158,200,608,8
158,230,567,8
158,230,591,8
158,237,568,8
158,246,584,8
158,300,123,16
159,155,565,7
159,171,763,8
159,174,607,12
159,174,608,12
159,180,499,12
159,180,501,18
159,180,502,12
159,183,459,15
159,185,445,9
